Country or Area Code,Year,Elec_proportion,Area_type
1,2000,75,ALLAREA
1,2000,61,RURAL
1,2000,90,URBAN
1,2001,61,RURAL
1,2001,90,URBAN
1,2001,75,ALLAREA
1,2002,91,URBAN
1,2002,77,ALLAREA
1,2002,64,RURAL
1,2003,64,RURAL
1,2003,91,URBAN
1,2003,77,ALLAREA
1,2004,64,RURAL
1,2004,91,URBAN
1,2004,77,ALLAREA
1,2005,78,ALLAREA
1,2005,92,URBAN
1,2005,65,RURAL
1,2006,92,URBAN
1,2006,66,RURAL
1,2006,79,ALLAREA
1,2007,68,RURAL
1,2007,93,URBAN
1,2007,80,ALLAREA
1,2008,68,RURAL
1,2008,93,URBAN
1,2008,81,ALLAREA
1,2009,94,URBAN
1,2009,82,ALLAREA
1,2009,69,RURAL
1,2010,70,RURAL
1,2010,96,URBAN
1,2010,83,ALLAREA
1,2011,96,URBAN
1,2011,82,ALLAREA
1,2011,67,RURAL
1,2012,72,RURAL
1,2012,96,URBAN
1,2012,85,ALLAREA
1,2013,72,RURAL
1,2013,96,URBAN
1,2013,85,ALLAREA
1,2014,96,URBAN
1,2014,86,ALLAREA
1,2014,73,RURAL
1,2015,75,RURAL
1,2015,87,ALLAREA
1,2015,96,URBAN
1,2016,97,URBAN
1,2016,88,ALLAREA
1,2016,77,RURAL
1,2017,78,RURAL
1,2017,97,URBAN
1,2017,89,ALLAREA
1,2018,89,ALLAREA
1,2018,97,URBAN
1,2018,80,RURAL
1,2019,81,RURAL
1,2019,97,URBAN
1,2019,90,ALLAREA
4,2005,7,RURAL
4,2005,74,URBAN
4,2005,22,ALLAREA
4,2006,13,RURAL
4,2006,80,URBAN
4,2006,28,ALLAREA
4,2007,20,RURAL
4,2007,82,URBAN
4,2007,34,ALLAREA
4,2008,28,RURAL
4,2008,90,URBAN
4,2008,42,ALLAREA
4,2009,85,URBAN
4,2009,46,ALLAREA
4,2009,33,RURAL
4,2010,43,ALLAREA
4,2010,30,RURAL
4,2010,83,URBAN
4,2011,30,RURAL
4,2011,87,URBAN
4,2011,43,ALLAREA
4,2012,61,RURAL
4,2012,95,URBAN
4,2012,69,ALLAREA
4,2013,61,RURAL
4,2013,93,URBAN
4,2013,69,ALLAREA
4,2014,87,RURAL
4,2014,99,URBAN
4,2014,90,ALLAREA
4,2015,93,URBAN
4,2015,65,RURAL
4,2015,72,ALLAREA
4,2016,97,RURAL
4,2016,98,ALLAREA
4,2016,100,URBAN
4,2017,100,URBAN
4,2017,98,ALLAREA
4,2017,97,RURAL
4,2018,98,RURAL
4,2018,100,URBAN
4,2018,99,ALLAREA
4,2019,97,RURAL
4,2019,100,URBAN
4,2019,98,ALLAREA
5,2000,70,RURAL
5,2000,99,URBAN
5,2000,93,ALLAREA
5,2001,94,ALLAREA
5,2001,76,RURAL
5,2001,98,URBAN
5,2002,94,ALLAREA
5,2002,76,RURAL
5,2002,98,URBAN
5,2003,94,ALLAREA
5,2003,76,RURAL
5,2003,99,URBAN
5,2004,77,RURAL
5,2004,99,URBAN
5,2004,95,ALLAREA
5,2005,95,ALLAREA
5,2005,78,RURAL
5,2005,99,URBAN
5,2006,96,ALLAREA
5,2006,81,RURAL
5,2006,99,URBAN
5,2007,96,ALLAREA
5,2007,99,URBAN
5,2007,83,RURAL
5,2008,99,URBAN
5,2008,97,ALLAREA
5,2008,85,RURAL
5,2009,97,ALLAREA
5,2009,86,RURAL
5,2009,99,URBAN
5,2010,100,URBAN
5,2010,98,ALLAREA
5,2010,89,RURAL
5,2011,100,URBAN
5,2011,89,RURAL
5,2011,98,ALLAREA
5,2012,98,ALLAREA
5,2012,100,URBAN
5,2012,91,RURAL
5,2013,98,ALLAREA
5,2013,100,URBAN
5,2013,92,RURAL
5,2014,100,URBAN
5,2014,99,ALLAREA
5,2014,93,RURAL
5,2015,99,ALLAREA
5,2015,100,URBAN
5,2015,94,RURAL
5,2016,99,ALLAREA
5,2016,100,URBAN
5,2016,94,RURAL
5,2017,99,ALLAREA
5,2017,100,URBAN
5,2017,95,RURAL
5,2018,99,ALLAREA
5,2018,100,URBAN
5,2018,95,RURAL
5,2019,100,ALLAREA
5,2019,100,URBAN
5,2019,98,RURAL
8,2000,100,RURAL
8,2000,100,URBAN
8,2000,100,ALLAREA
8,2001,100,URBAN
8,2001,100,ALLAREA
8,2001,100,RURAL
8,2002,100,RURAL
8,2002,100,URBAN
8,2002,100,ALLAREA
8,2003,100,RURAL
8,2003,100,URBAN
8,2003,100,ALLAREA
8,2004,100,RURAL
8,2004,100,URBAN
8,2004,100,ALLAREA
8,2005,100,RURAL
8,2005,100,ALLAREA
8,2005,100,URBAN
8,2006,100,RURAL
8,2006,100,URBAN
8,2006,100,ALLAREA
8,2007,100,RURAL
8,2007,100,URBAN
8,2007,100,ALLAREA
8,2008,100,ALLAREA
8,2008,100,URBAN
8,2008,100,RURAL
8,2009,100,RURAL
8,2009,100,URBAN
8,2009,100,ALLAREA
8,2010,100,ALLAREA
8,2010,100,RURAL
8,2010,100,URBAN
8,2011,100,RURAL
8,2011,100,URBAN
8,2011,100,ALLAREA
8,2012,100,RURAL
8,2012,100,URBAN
8,2012,100,ALLAREA
8,2013,100,URBAN
8,2013,100,ALLAREA
8,2013,100,RURAL
8,2014,100,URBAN
8,2014,100,RURAL
8,2014,100,ALLAREA
8,2015,100,ALLAREA
8,2015,100,RURAL
8,2015,100,URBAN
8,2016,100,RURAL
8,2016,100,URBAN
8,2016,100,ALLAREA
8,2017,100,RURAL
8,2017,100,URBAN
8,2017,100,ALLAREA
8,2018,100,URBAN
8,2018,100,ALLAREA
8,2018,100,RURAL
8,2019,100,RURAL
8,2019,100,URBAN
8,2019,100,ALLAREA
9,2000,80,ALLAREA
9,2000,98,URBAN
9,2000,42,RURAL
9,2001,80,ALLAREA
9,2001,98,URBAN
9,2001,43,RURAL
9,2002,81,ALLAREA
9,2002,98,URBAN
9,2002,44,RURAL
9,2003,46,RURAL
9,2003,98,URBAN
9,2003,81,ALLAREA
9,2004,81,ALLAREA
9,2004,98,URBAN
9,2004,47,RURAL
9,2005,82,ALLAREA
9,2005,48,RURAL
9,2005,98,URBAN
9,2006,81,ALLAREA
9,2006,98,URBAN
9,2006,44,RURAL
9,2007,83,ALLAREA
9,2007,50,RURAL
9,2007,98,URBAN
9,2008,83,ALLAREA
9,2008,98,URBAN
9,2008,51,RURAL
9,2009,81,ALLAREA
9,2009,46,RURAL
9,2009,98,URBAN
9,2010,48,RURAL
9,2010,82,ALLAREA
9,2010,98,URBAN
9,2011,98,URBAN
9,2011,84,ALLAREA
9,2011,55,RURAL
9,2012,85,ALLAREA
9,2012,56,RURAL
9,2012,99,URBAN
9,2013,85,ALLAREA
9,2013,99,URBAN
9,2013,57,RURAL
9,2014,86,ALLAREA
9,2014,99,URBAN
9,2014,60,RURAL
9,2015,87,ALLAREA
9,2015,99,URBAN
9,2015,63,RURAL
9,2016,99,URBAN
9,2016,88,ALLAREA
9,2016,66,RURAL
9,2017,89,ALLAREA
9,2017,70,RURAL
9,2017,99,URBAN
9,2018,91,ALLAREA
9,2018,99,URBAN
9,2018,73,RURAL
9,2019,76,RURAL
9,2019,92,ALLAREA
9,2019,99,URBAN
11,2000,16,RURAL
11,2000,35,ALLAREA
11,2000,72,URBAN
11,2001,72,URBAN
11,2001,36,ALLAREA
11,2001,16,RURAL
11,2002,37,ALLAREA
11,2002,17,RURAL
11,2002,73,URBAN
11,2003,74,URBAN
11,2003,41,ALLAREA
11,2003,23,RURAL
11,2004,39,ALLAREA
11,2004,74,URBAN
11,2004,18,RURAL
11,2005,75,URBAN
11,2005,39,ALLAREA
11,2005,17,RURAL
11,2006,19,RURAL
11,2006,76,URBAN
11,2006,41,ALLAREA
11,2007,20,RURAL
11,2007,78,URBAN
11,2007,43,ALLAREA
11,2008,44,ALLAREA
11,2008,78,URBAN
11,2008,21,RURAL
11,2009,21,RURAL
11,2009,44,ALLAREA
11,2009,77,URBAN
11,2010,43,ALLAREA
11,2010,75,URBAN
11,2010,21,RURAL
11,2011,24,RURAL
11,2011,81,URBAN
11,2011,48,ALLAREA
11,2012,46,ALLAREA
11,2012,20,RURAL
11,2012,80,URBAN
11,2013,25,RURAL
11,2013,49,ALLAREA
11,2013,80,URBAN
11,2014,49,ALLAREA
11,2014,81,URBAN
11,2014,25,RURAL
11,2015,48,ALLAREA
11,2015,79,URBAN
11,2015,23,RURAL
11,2016,83,URBAN
11,2016,53,ALLAREA
11,2016,28,RURAL
11,2017,50,ALLAREA
11,2017,22,RURAL
11,2017,84,URBAN
11,2018,53,ALLAREA
11,2018,81,URBAN
