Country or Area Code,RURAL,URBAN,ALLAREA,Label
1,81.0,97.0,90,other
4,97.0,100.0,98,hydro
8,100.0,100.0,100,hydro
20,100.0,100.0,100,hydro
28,100.0,100.0,100,combustible
32,100.0,100.0,100,combustible
48,100.0,100.0,100,combustible
50,89.0,98.0,92,hydro
72,28.0,88.0,70,combustible
76,98.0,100.0,100,hydro
90,68.0,77.0,70,combustible
92,100.0,100.0,100,combustible
108,3.0,63.0,11,hydro
136,100.0,100.0,100,combustible
140,2.0,32.0,14,hydro
174,78.0,98.0,84,combustible
178,13.0,66.0,48,solar
188,99.0,100.0,100,hydro
192,99.0,100.0,100,combustible
204,17.0,65.0,40,combustible
218,100.0,100.0,100,hydro
222,100.0,99.0,100,combustible
226,2.0,91.0,67,hydro
231,36.0,93.0,48,solar
234,100.0,100.0,100,combustible
242,100.0,100.0,100,combustible
258,100.0,100.0,100,combustible
262,25.0,72.0,61,combustible
270,28.0,80.0,60,combustible
292,100.0,100.0,100,other
296,100.0,89.0,100,combustible
328,90.0,97.0,92,wind
364,100.0,100.0,100,solar
400,100.0,100.0,100,combustible
418,100.0,100.0,100,hydro
422,100.0,100.0,100,combustible
426,32.0,76.0,45,hydro
430,8.0,46.0,28,combustible
438,100.0,100.0,100,hydro
454,4.0,46.0,11,hydro
462,100.0,100.0,100,solar
496,97.0,100.0,99,wind
512,100.0,100.0,100,solar
516,35.0,75.0,55,solar
520,100.0,100.0,100,combustible
524,89.0,94.0,90,hydro
531,100.0,100.0,100,wind
533,100.0,100.0,100,combustible
534,100.0,100.0,100,combustible
540,100.0,100.0,100,combustible
548,54.0,95.0,65,combustible
583,78.0,96.0,82,combustible
584,100.0,96.0,97,combustible
585,100.0,100.0,100,combustible
586,59.0,100.0,74,combustible
591,88.0,100.0,96,combustible
598,60.0,83.0,63,combustible
600,100.0,100.0,100,hydro
608,94.0,98.0,96,combustible
624,13.0,54.0,31,combustible
626,92.0,100.0,95,combustible
630,100.0,100.0,100,solar
646,26.0,93.0,38,combustible
659,100.0,100.0,100,combustible
662,100.0,97.0,100,combustible
670,100.0,99.0,100,combustible
678,69.0,78.0,75,combustible
682,100.0,100.0,100,combustible
686,48.0,95.0,70,solar
690,100.0,100.0,100,combustible
694,2.0,51.0,23,combustible
702,100.0,100.0,100,combustible
704,99.0,100.0,99,hydro
706,11.0,66.0,36,combustible
748,73.0,91.0,77,combustible
776,98.0,100.0,98,combustible
796,100.0,100.0,100,combustible
798,100.0,100.0,100,combustible
800,32.0,71.0,41,hydro
834,19.0,73.0,38,solar
850,100.0,100.0,100,solar
858,100.0,100.0,100,combustible
860,100.0,100.0,100,combustible
882,99.0,100.0,99,combustible
894,14.0,80.0,43,hydro
